time,exchange,best_bid,best_ask,mid,asks_json,bids_json
2026-09-12T18:23:33.747329+00:00,wallex,17920000011.0,17984272973.0,17952136492.0,"[[17984272973.0, 0.00868048], [17984272974.0, 0.003], [17984272975.0, 0.00646676], [17991269202.0, 4.7e-06], [17991270199.0, 0.0033], [17991270202.0, 0.00363], [17991270203.0, 0.01043559], [17998537231.0, 0.00101854], [17999992844.0, 0.00050927], [17999999989.0, 0.00131096], [18000000000.0, 1e-05], [18000692288.0, 0.001496], [18000762414.0, 0.00050927], [18000814472.0, 0.00017561], [18011902391.0, 0.00138156], [18040760203.0, 0.04327481], [18047608601.0, 0.00284571], [18053551877.0, 2.24e-05], [18057874934.0, 0.001], [18088619600.0, 0.00025512]]","[[17920000011.0, 0.00057645], [17920000010.0, 0.004217], [17919999999.0, 0.00103207], [17906218753.0, 0.01787756], [17906167451.0, 0.000599], [17903497600.0, 0.00636648], [17900589000.0, 0.0005], [17900000002.0, 0.00537488], [17900000000.0, 0.00799222], [17880001000.0, 0.00021945], [17880000000.0, 0.00066011], [17872000000.0, 0.0009], [17865635001.0, 0.00139989], [17860000000.0, 0.00017855], [17850966102.0, 6.129e-05], [17850000000.0, 0.00613402], [17847875457.0, 2.73e-05], [17840000000.0, 0.000187], [17839999997.0, 5.659e-05], [17833309278.0, 1.401e-05]]"
2026-09-12T18:23:34.668547+00:00,nobitex,17890000001.0,17890000009.0,17890000005.0,"[[17890000009.0, 0.000106], [17906500000.0, 0.044141], [17907000000.0, 0.000724], [17932099997.0, 0.00088], [17933000001.0, 0.029426], [17933000003.0, 0.001217], [17936694582.0, 0.000541], [17936694583.0, 0.00044], [17942999990.0, 0.000388], [17942999996.0, 0.003831], [17942999997.0, 0.001056], [17942999999.0, 0.012306], [17946094691.0, 0.000585], [17954368931.0, 0.000187], [17959989998.0, 6e-06], [17960000000.0, 0.030135], [17965339206.0, 0.008523], [17969997929.0, 6.9e-05], [17970526802.0, 0.00031], [17972026604.0, 0.0015]]","[[17890000001.0, 0.002764], [17890000000.0, 0.197201], [17889999991.0, 0.001472], [17889999990.0, 0.066879], [17889000000.0, 0.00023], [17880101006.0, 0.001552], [17880100000.0, 0.00152], [17875002001.0, 0.00088], [17875002000.0, 0.000813], [17875001000.0, 9e-06], [17875000000.0, 0.0005], [17870501911.0, 0.000545], [17870000009.0, 3e-06], [17870000000.0, 2.5e-05], [17860000009.0, 0.002579], [17859964702.0, 0.000115], [17859700000.0, 0.0002], [17854705262.0, 0.002045], [17852000000.0, 0.000123], [17850009999.0, 3e-06]]"
2026-09-12T18:23:35.727872+00:00,bitpin,17909340405.0,17910000000.0,17909670202.5,"[[17910000000.0, 0.00349538], [17914934344.0, 0.00230919], [17916725311.0, 0.00161643], [17918516278.0, 0.0011315], [17928870580.0, 0.00921937], [17930578482.0, 4.65e-05], [17931578482.0, 0.00270205], [17935243900.0, 0.0161548], [17947313304.0, 0.001016], [17949243891.0, 0.00301434], [17949243900.0, 0.00470609], [17962027654.0, 0.01089784], [17969257860.0, 0.00233597], [17971513006.0, 0.00257656], [17997152562.0, 0.00074943], [17998385211.0, 3.22e-05], [18022833810.0, 0.02787462], [18031896251.0, 0.04313161], [18032127895.0, 0.0355724], [18040691444.0, 0.05142455]]","[[17909340405.0, 7.19e-06], [17906313204.0, 0.01178478], [17906000000.0, 0.00027156], [17901856900.0, 0.00190219], [17901000000.0, 0.00803211], [17900988531.0, 0.00992936], [17900212123.0, 5.395e-05], [17900000000.0, 0.00167597], [17881299198.0, 0.00129706], [17880046622.0, 0.00070117], [17880000000.0, 0.00011186], [17878255655.0, 0.00049082], [17876464688.0, 0.00034357], [17869664297.0, 6.382e-05], [17855555555.0, 0.00864914], [17850243900.0, 8.888e-05], [17850243899.0, 0.00103218], [17833589734.0, 5.6e-06], [17830048065.0, 8.628e-05], [17829421387.0, 0.04675502]]"
2026-09-12T18:23:39.792507+00:00,wallex,17920000016.0,17981374968.0,17950687492.0,"[[17981374968.0, 0.01424178], [17981374969.0, 0.0129356], [17983984385.0, 0.004], [17991269202.0, 4.7e-06], [17991270203.0, 0.01043559], [17998537231.0, 0.00101854], [17999992844.0, 0.00050927], [17999999989.0, 0.00131096], [18000000000.0, 1e-05], [18000692288.0, 0.001496], [18000762414.0, 0.00050927], [18000814472.0, 0.00017561], [18011902391.0, 0.00138156], [18014142769.0, 0.000912], [18040760203.0, 0.04327481], [18047608601.0, 0.00284571], [18053551877.0, 2.24e-05], [18057874934.0, 0.001], [18088619600.0, 0.00025512], [18095446000.0, 1e-05]]","[[17920000016.0, 0.00058219], [17920000015.0, 0.00050095], [17920000013.0, 0.000899], [17920000010.0, 0.004217], [17919999999.0, 0.00103207], [17906270391.0, 0.000599], [17906218753.0, 0.01787756], [17903497600.0, 0.00636648], [17900589000.0, 0.0005], [17900000002.0, 0.00537488], [17900000000.0, 0.00799222], [17880001000.0, 0.00021945], [17880000000.0, 0.00066011], [17872000000.0, 0.0009], [17865635001.0, 0.00139989], [17860000000.0, 0.00017855], [17850966102.0, 6.129e-05], [17850000000.0, 0.00613402], [17847875457.0, 2.73e-05], [17840000000.0, 0.000187]]"
2026-09-12T18:23:40.790199+00:00,nobitex,17890000001.0,17890000009.0,17890000005.0,"[[17890000009.0, 0.000106], [17906500000.0, 0.044141], [17907000000.0, 0.000724], [17932099997.0, 0.00088], [17933000001.0, 0.029426], [17933000003.0, 0.001217], [17936694582.0, 0.000541], [17936694583.0, 0.00044], [17942999990.0, 0.000388], [17942999996.0, 0.003831], [17942999997.0, 0.001056], [17942999999.0, 0.012306], [17946094691.0, 0.000585], [17954368931.0, 0.000187], [17959989998.0, 6e-06], [17960000000.0, 0.030135], [17965339206.0, 0.008523], [17969997929.0, 6.9e-05], [17970526802.0, 0.00031], [17972026604.0, 0.0015]]","[[17890000001.0, 0.002094], [17890000000.0, 0.197201], [17889999991.0, 0.001472], [17889999990.0, 0.066879], [17889000000.0, 0.00023], [17880101006.0, 0.001552], [17880100000.0, 0.00152], [17875002001.0, 0.00088], [17875002000.0, 0.000813], [17875001000.0, 9e-06], [17875000000.0, 0.0005], [17870000009.0, 3e-06], [17870000000.0, 2.5e-05], [17860000009.0, 0.002579], [17859964702.0, 0.000115], [17859700000.0, 0.0002], [17854705262.0, 0.002045], [17852000000.0, 0.000123], [17850009999.0, 3e-06], [17850000019.0, 3e-06]]"
2026-09-12T18:23:41.834575+00:00,bitpin,17909340406.0,17910000000.0,17909670203.0,"[[17910000000.0, 0.00349538], [17914934344.0, 0.00230919], [17916725311.0, 0.00161643], [17918516278.0, 0.0011315], [17928870580.0, 0.00921937], [17930578482.0, 4.65e-05], [17931578482.0, 0.00270205], [17935243900.0, 0.0161548], [17947313304.0, 0.001016], [17949243891.0, 0.00301434], [17949243900.0, 0.00470609], [17962027654.0, 0.01089784], [17969257860.0, 0.00233597], [17971513006.0, 0.00257656], [17997152562.0, 0.00074943], [17998385211.0, 3.22e-05], [18022833810.0, 0.02787462], [18031896251.0, 0.04313161], [18032127895.0, 0.0355724], [18040691444.0, 0.05142455]]","[[17909340406.0, 0.00328577], [17909340405.0, 7.19e-06], [17906313204.0, 0.01178478], [17906000000.0, 0.00027156], [17901856900.0, 0.00190219], [17901000000.0, 0.00803211], [17900988531.0, 0.00992936], [17900212123.0, 5.395e-05], [17900000000.0, 0.00167597], [17881299198.0, 0.00129706], [17880175474.0, 0.00070117], [17880000000.0, 0.00011186], [17878384507.0, 0.00049082], [17876593540.0, 0.00034357], [17869664297.0, 6.382e-05], [17855555555.0, 0.00864914], [17850243900.0, 8.888e-05], [17850243899.0, 0.00103218], [17833589734.0, 5.6e-06], [17830048065.0, 8.628e-05]]"
2026-09-12T18:23:44.702275+00:00,wallex,17920000027.0,17984272975.0,17952136501.0,"[[17984272975.0, 0.00646676], [17985187515.0, 0.004], [17985187516.0, 0.004], [17985187528.0, 0.000399], [17991269202.0, 4.7e-06], [17991270203.0, 0.01043559], [17998537231.0, 0.00101854], [17999992844.0, 0.00050927], [17999999989.0, 0.00131096], [18000000000.0, 1e-05], [18000692288.0, 0.001496], [18000762414.0, 0.00050927], [18000814472.0, 0.00017561], [18011902391.0, 0.00138156], [18014142769.0, 0.000912], [18040760203.0, 0.04327481], [18047608601.0, 0.00284571], [18053551877.0, 2.24e-05], [18057874934.0, 0.001], [18088619600.0, 0.00025512]]","[[17920000027.0, 0.00058219], [17920000026.0, 0.004217], [17919999999.0, 0.00103207], [17910322414.0, 0.000599], [17906218753.0, 0.01787756], [17903497600.0, 0.00636648], [17900589000.0, 0.0005], [17900000002.0, 0.00537488], [17900000000.0, 0.00799222], [17880001000.0, 0.00021945], [17880000000.0, 0.00066011], [17872000000.0, 0.0009], [17865635001.0, 0.00139989], [17860000000.0, 0.00017855], [17850966102.0, 6.129e-05], [17850000000.0, 0.00613402], [17847875457.0, 2.73e-05], [17840000000.0, 0.000187], [17839999997.0, 5.659e-05], [17833309278.0, 1.401e-05]]"
2026-09-12T18:23:45.273464+00:00,nobitex,17890000001.0,17890000009.0,17890000005.0,"[[17890000009.0, 0.000106], [17907000000.0, 0.000724], [17932099996.0, 0.00044], [17932099997.0, 0.00088], [17933000001.0, 0.029426], [17933000003.0, 0.001217], [17936694582.0, 0.000541], [17942999990.0, 0.000388], [17942999996.0, 0.003831], [17942999997.0, 0.001056], [17942999999.0, 0.012306], [17946094691.0, 0.000585], [17954368931.0, 0.000187], [17959989998.0, 6e-06], [17960000000.0, 0.030135], [17965339206.0, 0.008523], [17969997929.0, 6.9e-05], [17970526802.0, 0.00031], [17972026604.0, 0.0015], [17974507647.0, 0.002758]]","[[17890000001.0, 0.002094], [17890000000.0, 0.000452], [17889999991.0, 0.001472], [17889999990.0, 0.066879], [17889000000.0, 0.00023], [17880101006.0, 0.001552], [17880100000.0, 0.00152], [17875514521.0, 0.00106], [17875002001.0, 0.00088], [17875002000.0, 0.000813], [17875001000.0, 9e-06], [17875000000.0, 0.0005], [17870000009.0, 3e-06], [17870000000.0, 2.5e-05], [17860000009.0, 0.002579], [17859964702.0, 0.000115], [17859700000.0, 0.0002], [17854705262.0, 0.002045], [17852000000.0, 0.000123], [17850009999.0, 3e-06]]"
2026-09-12T18:23:46.231946+00:00,bitpin,17909340405.0,17910000000.0,17909670202.5,"[[17910000000.0, 0.00349538], [17914934577.0, 0.00066741], [17916725544.0, 0.00046719], [17918516511.0, 0.00032703], [17928870580.0, 0.00921937], [17930578482.0, 4.65e-05], [17931578482.0, 0.00270205], [17935243900.0, 0.0161548], [17947313304.0, 0.001016], [17949243891.0, 0.00301434], [17949243900.0, 0.00470609], [17962027654.0, 0.01089784], [17969257860.0, 0.00233597], [17971513006.0, 0.00257656], [17997152562.0, 0.00074943], [17998385211.0, 3.22e-05], [18022833810.0, 0.02787462], [18031896251.0, 0.04313161], [18032127895.0, 0.0355724], [18040691444.0, 0.05142455]]","[[17909340405.0, 7.19e-06], [17906313204.0, 0.01178478], [17906000000.0, 0.00027156], [17901856900.0, 0.00190219], [17901000000.0, 0.00803211], [17900988531.0, 0.00992936], [17900212123.0, 5.395e-05], [17900000000.0, 0.00167597], [17881299198.0, 0.00129706], [17880175474.0, 0.00070117], [17880000000.0, 0.00011186], [17878384507.0, 0.00049082], [17876593540.0, 0.00034357], [17869664297.0, 6.382e-05], [17855555556.0, 8.887e-05], [17855555555.0, 0.00864914], [17850243899.0, 0.00103218], [17833589734.0, 5.6e-06], [17830048065.0, 8.628e-05], [17829421387.0, 0.04675502]]"
2026-09-12T18:23:50.437485+00:00,wallex,17920000031.0,17926792434.0,17923396232.5,"[[17926792434.0, 0.005], [17985187515.0, 0.004], [17985187516.0, 0.004], [17985187530.0, 0.000399], [17991270203.0, 0.01043559], [17998537231.0, 0.00101854], [17999992844.0, 0.00050927], [17999999989.0, 0.00131096], [18000000000.0, 1e-05], [18000692288.0, 0.001496], [18000762414.0, 0.00050927], [18000814472.0, 0.00017561], [18011902391.0, 0.00138156], [18014142769.0, 0.000912], [18040760203.0, 0.04327481], [18047608601.0, 0.00284571], [18053551877.0, 2.24e-05], [18057874934.0, 0.001], [18088619600.0, 0.00025512], [18095446000.0, 1e-05]]","[[17920000031.0, 0.00058219], [17920000030.0, 0.000899], [17920000026.0, 0.004217], [17919999999.0, 0.00103207], [17906218753.0, 0.01787756], [17903497600.0, 0.00636648], [17900589000.0, 0.0005], [17900000002.0, 0.00537488], [17900000000.0, 0.00799222], [17880000000.0, 0.00066011], [17872000000.0, 0.0009], [17865635001.0, 0.00139989], [17860000000.0, 0.00017855], [17850966102.0, 6.129e-05], [17850000000.0, 0.00613402], [17847875457.0, 2.73e-05], [17840000000.0, 0.000187], [17839999997.0, 5.659e-05], [17833309278.0, 1.401e-05], [17826619555.0, 3.405e-05]]"
