time,exchange,price,amount,side
2026-09-12T18:23:36.803331+00:00,wallex,17991270203.0,0.00056019,sell
2026-09-12T18:23:36.803376+00:00,wallex,17991270202.0,0.000899,sell
2026-09-12T18:23:36.803390+00:00,wallex,17982781250.0,0.000399,sell
2026-09-12T18:23:36.803401+00:00,wallex,17949754674.0,0.0003508,sell
2026-09-12T18:23:36.803412+00:00,wallex,17941685833.0,0.00108746,sell
2026-09-12T18:23:36.803423+00:00,wallex,17933584868.0,1.897e-05,sell
2026-09-12T18:23:36.803433+00:00,wallex,17923497600.0,0.0022306,sell
2026-09-12T18:23:36.803443+00:00,wallex,17920000000.0,0.00112281,sell
2026-09-12T18:23:36.803453+00:00,wallex,17920000000.0,0.00056512,buy
2026-09-12T18:23:36.803466+00:00,wallex,17906218754.0,0.00026292,buy
2026-09-12T18:23:36.803480+00:00,wallex,17906218754.0,0.0001688,buy
2026-09-12T18:23:36.803494+00:00,wallex,17906218753.0,0.02996399,sell
2026-09-12T18:23:36.803506+00:00,wallex,17906218753.0,1.236e-05,sell
2026-09-12T18:23:36.803516+00:00,wallex,17906218753.0,0.000599,sell
2026-09-12T18:23:36.803526+00:00,wallex,17906218752.0,0.00032063,buy
2026-09-12T18:23:36.803535+00:00,wallex,17906218753.0,0.000599,sell
2026-09-12T18:23:36.803544+00:00,wallex,17906218753.0,0.000599,sell
2026-09-12T18:23:36.803553+00:00,wallex,17906218753.0,0.01298128,sell
2026-09-12T18:23:36.803564+00:00,wallex,17906218753.0,0.00050719,buy
2026-09-12T18:23:36.803574+00:00,wallex,17920000000.0,0.00015082,sell
2026-09-12T18:23:36.803582+00:00,wallex,17906218751.0,0.06050341,sell
2026-09-12T18:23:36.803592+00:00,wallex,17906218751.0,5.579e-05,sell
2026-09-12T18:23:36.803601+00:00,wallex,17906218751.0,0.000599,sell
2026-09-12T18:23:36.803610+00:00,wallex,17906218751.0,0.00049725,buy
2026-09-12T18:23:36.803619+00:00,wallex,17919686165.0,3.007e-05,sell
2026-09-12T18:23:36.803628+00:00,wallex,17919686164.0,0.00050096,sell
2026-09-12T18:23:36.803637+00:00,wallex,17919686165.0,0.00013977,sell
2026-09-12T18:23:36.803646+00:00,wallex,17919686165.0,0.00021003,sell
2026-09-12T18:23:36.803655+00:00,wallex,17919686165.0,0.00016898,sell
2026-09-12T18:23:36.803663+00:00,wallex,17920000000.0,0.00044564,buy
2026-09-12T18:23:36.803672+00:00,wallex,17920000000.0,0.0002,buy
2026-09-12T18:23:36.803681+00:00,wallex,17920000000.0,0.00017111,buy
2026-09-12T18:23:36.803690+00:00,wallex,17920000000.0,2.28e-05,buy
2026-09-12T18:23:36.803699+00:00,wallex,17920000001.0,0.0129749,sell
2026-09-12T18:23:36.803708+00:00,wallex,17920000001.0,0.00086188,buy
2026-09-12T18:23:36.803718+00:00,wallex,17923497600.0,0.00026851,buy
2026-09-12T18:23:36.803732+00:00,wallex,17924001002.0,1.116e-05,buy
2026-09-12T18:23:36.803741+00:00,wallex,17924001003.0,0.00079602,buy
2026-09-12T18:23:36.803750+00:00,wallex,17928000001.0,0.00405713,sell
2026-09-12T18:23:36.803759+00:00,wallex,17927999961.0,0.00209,sell
2026-09-12T18:23:36.803769+00:00,wallex,17928000000.0,0.0002314,buy
2026-09-12T18:23:36.803778+00:00,wallex,17928000000.0,0.00017791,buy
2026-09-12T18:23:36.803786+00:00,wallex,17928000000.0,0.00058843,buy
2026-09-12T18:23:36.803795+00:00,wallex,17928000001.0,0.03153839,sell
2026-09-12T18:23:36.803804+00:00,wallex,17928000001.0,0.00069963,buy
2026-09-12T18:23:36.803813+00:00,wallex,17930792434.0,0.00337684,sell
2026-09-12T18:23:36.803822+00:00,wallex,17933584866.0,0.00013072,sell
2026-09-12T18:23:36.803831+00:00,wallex,17933584856.0,0.00027846,sell
2026-09-12T18:23:36.803840+00:00,wallex,17933584866.0,0.00027517,buy
